,BTS,GROUPE,X,Y,commune_id
5104,31X208,ORAN_AUX,-0.63375,35.695,2787.0
5106,29X023,AUXILIARY BL,0.12536,35.3036,3305.0
5107,09X320,CENTRE_AUX,2.6239,36.466,2814.0
5108,19X030,AUXILIARY BL,5.2339,36.1704,2897.0
5109,16X033,ALGER_AUX,2.95597,36.8109,3044.0
5110,47X010,SUD_AUX,4.49594,32.7973,3442.0
5112,19X003,SETIF_AUX,5.39903,36.1804,2809.0
5117,42X133,CENTRE_AUX,2.47825,36.4975,3306.0
5121,21X095,CONSTANTINE_AUX,6.91755,36.8673,2754.0
5125,12X105,CONSTANTINE_AUX,7.93497,35.5402,3531.0
5127,48X094,ORAN_AUX,0.6935,35.9721,3532.0
5131,20X104,AUXILIARY BL,0.13688,34.85902,2841.0
5137,15X009,CENTRE_AUX,4.10139,36.8279,3533.0
5138,44X059,CENTRE_AUX,2.30558,36.1011,3534.0
5142,27X146,ORAN_AUX,0.38196,35.9473,3535.0
5148,09X110,AUXILIARY BL,2.81553,36.4693,2757.0
5152,08X005,SUD_AUX,-2.22969,31.5966,2829.0
5153,10X088,SETIF_AUX,4.1565,36.3512,2704.0
5159,13X069,TLEMCEN_AUX,-1.32943,34.6339,3253.0
5162,02X009,ORAN_AUX,1.19669,36.0979,2871.0
5163,06X150,SETIF_AUX,5.07232,36.7249,2719.0
5166,36X036,AUXILIARY BL,7.8788,36.829,2748.0
5171,23X016,CONSTANTINE_AUX,7.74063,36.8769,2863.0
5172,18X086,CONSTANTINE_AUX,5.95451,36.8219,3175.0
5173,45X043,SUD_AUX,-0.99122,33.891,3537.0
5176,33X003,SUD_AUX,9.4848,24.552,3538.0
5180,21X052,CONSTANTINE_AUX,6.9118,36.8567,2754.0
5183,16X534,AUXILIARY BL,3.03143,36.7194,2811.0
5184,40X021,CONSTANTINE_AUX,6.93236,35.4917,2933.0
5188,14X004,ORAN_AUX,1.31553,35.347,2740.0
5189,02X053,ORAN_AUX,1.23428,36.0983,2871.0
5190,16X028,ALGER_AUX,3.06521,36.756,2966.0
5192,29X095,ORAN_AUX,0.33106,35.4164,2736.0
5195,31X612,ORAN_AUX,-0.50068,35.70871,3077.0
5199,16X1072,ALGER_AUX,2.94071,36.6885,2705.0
5201,23X010,CONSTANTINE_AUX,7.72855,36.8903,2731.0
5202,09X098,CENTRE_AUX,2.86348,36.4967,2913.0
5203,13X004,AUXILIARY BL,-1.31394,34.8824,2745.0
5204,31X012,ORAN_AUX,-0.74075,35.7345,2780.0
5206,26X026,CENTRE_AUX,3.4272,36.1386,3539.0
5207,31X057,AUXILIARY BL,-0.65753,35.6869,2787.0
5208,09X017,AUXILIARY BL,2.81585,36.5179,3355.0
5214,13X164,TLEMCEN_AUX,-1.56892,34.7786,3540.0
5217,25X120,CONSTANTINE_AUX,6.61101,36.1415,3292.0
5218,31X227,ORAN_AUX,-0.56769,35.7171,2833.0
5225,38X004,ORAN_AUX,1.96225,35.6692,3541.0
5230,31X132,ORAN_AUX,-0.57753,35.7313,2833.0
5232,10X033,AUXILIARY BL,4.25758,36.3299,3542.0
5236,31X138,ORAN_AUX,-0.68403,35.6652,2787.0
5238,21X103,CONSTANTINE_AUX,6.40499,37.0385,3543.0
5242,18X014,CONSTANTINE_AUX,5.80837,36.7693,3291.0
5247,16X242,SUD_AUX,3.06181,36.7553,2966.0
5248,14X082,ORAN_AUX,2.31938,35.2075,2876.0
5250,34X084,SETIF_AUX,4.80868,36.0694,3108.0
5251,04X156,CONSTANTINE_AUX,7.09545,35.8684,2711.0
5254,19X230,SETIF_AUX,5.43801,36.1466,2809.0
5258,05X015,SETIF_AUX,6.26096,35.4784,2866.0
5260,14X024,ORAN_AUX,1.97367,35.4105,3544.0
5261,15X135,AUXILIARY BL,4.42169,36.892,2807.0
5263,23X063,CONSTANTINE_AUX,7.71468,36.8764,2731.0
5266,09X113,CENTRE_AUX,2.82321,36.4796,2757.0
5273,19X075,SETIF_AUX,5.68701,36.2094,3545.0
5274,16X1111,ALGER_AUX,3.20378,36.7391,2791.0
5277,20X042,TLEMCEN_AUX,-0.14975,35.1199,3546.0
5283,31X310,ORAN_AUX,-0.66503,35.6355,2802.0
5285,16X819,ALGER_AUX,3.03616,36.7365,2805.0
5286,26X039,AUXILIARY BL,3.31127,36.4156,2769.0
5294,16M20,ALGER_AUX,3.05089,36.7642,2966.0
5295,19X063,SETIF_AUX,5.10099,36.4967,3547.0
5296,02X057,AUXILIARY BL,1.26081,36.2059,2942.0
5299,30X097,SUD_AUX,5.32257,31.9674,2818.0
5304,24X057,CONSTANTINE_AUX,7.72404,36.4712,3246.0
5305,08x10,SUD_AUX,-2.19935,31.6202,2829.0
5316,06X093,SETIF_AUX,5.03263,36.7475,2719.0
5318,03X022,SUD_AUX,3.26663,32.9318,2962.0
5320,05X062,SETIF_AUX,6.15435,35.5502,2784.0
5329,09X126,CENTRE_AUX,2.71583,36.5592,3100.0
5331,19X089,SETIF_AUX,5.26499,35.8104,3548.0
